full_size,compressed,compression_t,decompression_t,res_type,sample_id,tissue,ratio
2700177201,351338425,15.84,10.15,bus,GSM4037325,lung,7.68540247483605
2690295505,309061965,10.3,7.9,bus,ERS3861779,skin,8.704712354365572
2688034385,332295069,12.32,8.73,bus,GSM3954954,stomach,8.089299648921363
2683089265,320410965,14.3,9,bus,GSM3396173,bone_marrow,8.373899641668006
2675755057,319540165,11.94,8.62,bus,GSM3587010,colon,8.37376752622006
2646775377,306110077,10.83,7.31,bus,ERS3861835,yolk_sac,8.646482346936915
2635103537,322279517,10.86,7.31,bus,GSM3302524,testis,8.176453662117162
2628628113,311528877,13.01,8.77,bus,GSM4080090,lung,8.437831312183622
2607917521,345354809,16.36,13.22,bus,ERS4228628,thymus,7.551415104226911
2599511665,310501677,16.72,10.58,bus,GSM3734294,brain,8.371973028023291
2583146129,299655453,12.9,9.05,bus,ERS3861832,yolk_sac,8.62038752553587
2554889361,290302653,14.14,9.81,bus,ERX2756738,decidua,8.80077854817262
2549662577,302942229,14.68,11.75,bus,GSM3378059,blood,8.416332663215467
2530163761,298250537,10.84,7.06,bus,ERX2756730,decidua,8.483350227798583
2525837745,295517289,13.38,9.22,bus,ERS3861823,liver,8.547174189189317
2521752881,343612433,16.34,10.58,bus,GSM4769389,lung,7.3389453896739525
2488171921,302711281,14.35,9.5,bus,GSM3587008,ileum,8.219620731610593
2468395953,273561145,11.17,8.47,bus,GSM3558027,blood,9.02319645211311
2459367281,307783269,13.48,8.92,bus,GSM3439923,lung,7.990581453600716
2451797681,287457333,12.38,8.15,bus,GSM3396174,bone_marrow,8.529257735094898
2449477713,299778181,13.64,8.64,bus,GSM2928377,testis,8.170967295982091
2448268753,289426061,12.51,9.31,bus,GSM3396163,bone_marrow,8.459047345428925
2439926545,297517505,13.18,8.96,bus,CRX102293,blood,8.200951217979593
2428257073,283354217,11.85,8.23,bus,GSM3378055,blood,8.56968743472062
2416965553,274024517,11.16,7.92,bus,ERS3861785,skin,8.820252944739247
2415755953,290058689,12.85,8.42,bus,GSM3396171,bone_marrow,8.328507452503862
2414752497,303587989,10.69,6.87,bus,GSM3526590,testis,7.9540449045894235
2395195697,285246477,12.72,8.27,bus,CRX102285,blood,8.396933494817537
2389833073,317060837,12.53,7.37,bus,GSM3178786,liver,7.537459042915477
2383241745,282512909,9.86,13.46,bus,GSM3309834,blood,8.435868482738961
2382039825,278559369,9.61,6.68,bus,GSM3378054,blood,8.5512823839
2379052209,280446069,11.98,8.32,bus,GSM3396182,bone_marrow,8.483100574321119
2371651825,314949877,14.38,9.47,bus,GSM3168248,bone_marrow,7.530251631119069
2320456465,302909389,24.47,9.24,bus,GSM4145204,kidney,7.660563024013759
2317179857,309153405,17.87,10.87,bus,GSM3178784,liver,7.495242877884524
2303954865,270679881,14.26,9.1,bus,ERS3861824,liver,8.511732961047075
2288240945,261172573,13.26,9.09,bus,ERS3861826,skin,8.761413645834855
2281462577,280783121,13.71,8.9,bus,GSM3302525,testis,8.125355145546658
2274790289,259235389,9.01,6.21,bus,GSM3758117,skin,8.774999037650682
2271136657,290028601,12.37,7.52,bus,GSM3755697,peritoneal,7.830733414460735
2263646097,281554097,12.11,13.85,bus,GSM3143601,kidney,8.039826523994783
2241351793,265127217,10.19,6.34,bus,GSM3378058,blood,8.453872893027048
2236786001,269221205,9.65,6.71,bus,GSM3535277,lymph_node,8.308357437892012
2235873745,248101165,10.44,7.02,bus,GSM2786157,lung,9.01194375689449
2226088337,273043873,10.02,6.57,bus,GSM3758115,skin,8.152859511335748
2216833873,262285749,11.55,8.01,bus,GSM3711767,adipose,8.451979878632292
2208178033,262798617,9.78,9.99,bus,GSM3396162,bone_marrow,8.402548149635049
2168327249,261391529,10.98,6.86,bus,GSM2928378,testis,8.295323330849026
2166318449,279014445,10.43,6.62,bus,GSM3711773,adipose,7.764180270308227
2160291153,262112761,9.62,6.42,bus,GSM2928379,testis,8.241838912222972
2138740145,294280909,10.91,6.71,bus,GSM3073088,kidney,7.267682270887644
2123991825,249272973,8.61,6,bus,GSM3439917,lung,8.52074655121155
2119984273,251869769,9.06,6.68,bus,GSM3396175,bone_marrow,8.416985815395734
2114840913,249581909,8.32,6.55,bus,GSM3439918,lung,8.47353448602719
2108404689,249986793,9.02,6.13,bus,ERS3861815,skin,8.434064310749408
2105585521,259412073,11.64,9.34,bus,GSM3535278,lymph_node,8.116759935841536
2081788465,235368605,7.91,5.9,bus,ERS3861775,skin,8.844800966552018
2080248689,245556529,8.82,7.11,bus,GSM3378057,blood,8.471567412487737
2073822705,250505809,9.25,6.28,bus,GSM4486715,testis,8.278541377058446
2058550673,259828797,9.92,6.7,bus,GSM3954957,stomach,7.9227194859390435
2019592081,241413673,10.68,7.59,bus,GSM3667329,skin,8.365690542308265
2006432337,234039345,8.14,5.36,bus,GSM3439916,lung,8.573055684291033
2003271089,241373953,8.74,5.82,bus,GSM3396179,bone_marrow,8.299450144067533
2002615665,238196965,10.9,7.82,bus,GSM3396165,bone_marrow,8.407393708815727
2001819729,255875529,9.75,7.14,bus,GSM3360835,brain,7.823412175534769
1995148113,228963313,7.72,7.04,bus,ERS3861776,skin,8.713833176409358
1980721585,231969441,9.6,7.43,bus,ERS4228634,thymus,8.538717757223893
1978431345,258620377,12.25,9.19,bus,GSM3360837,brain,7.649943782272037
1972602321,231859009,8.11,5.37,bus,ERS4228638,thymus,8.50776654962758
1969947921,233098845,8.04,5.43,bus,GSM3439915,lung,8.451126907128176
1952144625,269050425,10.07,6.82,bus,GSM3073089,kidney,7.2556831121898435
1946898577,236168945,7.79,5.97,bus,GSM3309832,bone_marrow,8.243668857478276
1935851153,229301721,8.25,5.43,bus,ERS3861836,liver,8.442375157751215
1932724465,237130221,10.69,7.22,bus,GSM3396169,bone_marrow,8.150477222386597
